Computational complexity theory,Analysis of algorithms,Big O notation,Total order,Sorting algorithm,Quicksort,Time complexity,Space complexity,Array data structure,Bubble sort,Insertion sort,Merge sort,Heapsort,Selection sort,Shellsort,Radix sort,Gnome sort,y
391,230,1683,243,995,1391,861,40,542,896,895,895,568,527,199,402,72,230
450,281,1882,278,1132,1679,980,64,575,1072,1080,1095,718,636,227,555,63,290
645,405,2836,385,1774,2624,1273,69,864,1605,1563,1697,1001,911,303,701,87,428
665,361,2928,350,1687,2627,1349,72,986,1605,1669,1863,1126,985,304,684,66,414
578,307,2925,350,1622,2664,1246,63,843,1537,1625,1884,982,1002,301,723,74,390
588,303,2942,389,1708,2292,1238,57,840,1494,1497,1639,874,924,284,823,79,361
617,277,2446,278,1445,2036,1108,59,742,1308,1277,1411,784,752,244,694,75,335
441,199,1574,232,1261,1348,881,51,559,919,789,949,636,509,191,866,96,235
489,303,1863,245,1261,1793,868,70,689,1043,1171,1191,663,730,255,796,88,298
695,356,2935,358,1770,2543,1320,84,900,1609,1542,1601,1009,889,401,847,92,424
622,410,3198,381,1857,2485,1329,69,191459,1564,1714,1693,859,976,391,910,175,445
683,334,2852,388,1852,2483,1231,70,498068,1542,1625,1781,921,896,365,941,120,428
606,370,2852,345,1745,2399,1267,76,919,1542,1664,1580,938,921,302,843,82,414
594,318,2308,325,1600,2016,1084,49,859,1336,1358,1281,741,756,254,736,84,313
480,266,1717,286,1313,1577,860,54,693,1044,1052,1108,754,582,280,730,116,233
471,282,1841,234,1391,1697,887,48,621,1238,1129,1156,805,778,281,641,106,318
617,372,2728,372,1948,2278,1274,61,893,1710,1794,1571,904,1051,315,866,136,399
631,392,3020,435,2051,2588,1351,68,969,1696,1800,1741,1042,1067,308,924,122,419
942,465,4766,444,2182,2942,1520,76,1076,1670,1733,1750,1078,1153,358,903,147,415
657,315,2953,335,1905,2441,1344,79,842,1474,1709,1587,895,1003,299,865,160,379
579,310,2655,313,1627,2066,1164,66,930,1294,1486,1484,752,902,266,717,177,343
440,255,1859,248,1262,1461,798,44,578,889,956,1079,525,528,181,531,95,238
528,321,2066,264,1450,1620,931,54,650,1187,1264,1207,661,713,246,641,120,323
730,394,3586,359,2771,2429,1400,86,939,1685,1740,1600,1003,1164,329,848,137,439
694,421,3394,397,2099,2409,1435,74,1012,1754,1640,1677,1007,1026,373,879,144,399
